제조사,모델,매물수,최저(P10),P25,중앙값(P50),P75,최고(P90),중앙주행km,중앙연식,평균잔존율
KG모빌리티(쌍용),렉스턴 스포츠 칸,328,1400,1570,1729,1855,2030,89988,2020,52.3
기아,더 뉴 K5 3세대,319,2215,2645,3029,3352,3797,21179,2024,95.3
기아,K5 하이브리드 3세대,318,1690,1840,2070,2350,2513,75886,2022,63.1
기아,스팅어,317,1266,1390,1620,1850,2150,109158,2018,38.8
기아,스포티지 5세대 하이브리드,317,2318,2540,2830,3100,3300,53895,2023,76.5
현대,투싼 ix,317,359,419,470,530,599,155637,2012,19.3
기아,더 뉴 스포티지 R,312,550,630,730,822,890,139087,2014,29.2
벤츠,CLS-클래스 C257,310,3238,3755,4540,5672,6296,67321,2021,43.9
BMW,6시리즈 GT (G32),309,3066,3740,4600,5290,5999,64580,2022,50.2
벤츠,E-클래스 W212,307,599,780,990,1240,1420,123531,2014,14.8
BMW,5시리즈 (G60),306,3962,5400,6213,7200,8940,9550,2025,80.4
현대,쏘나타 디 엣지(DN8),301,2040,2540,2880,3199,3575,28593,2024,88.7
기아,더 뉴 K3,300,559,650,780,890,999,105886,2017,42.5
기아,디 올 뉴 니로,294,1750,1972,2330,2590,2991,64041,2022,74.5
르노코리아(삼성),QM3,291,350,420,520,600,699,120343,2015,21.3
KG모빌리티(쌍용),코란도 투리스모,290,357,436,580,790,1020,140568,2016,19.8
BMW,7시리즈 (G11),289,2626,3100,4400,5499,6357,109665,2020,28.3
기아,더 뉴 K9 2세대,289,2634,3100,3650,4150,4533,77961,2022,52.9
포드,익스플로러 6세대,287,2399,2670,3070,3550,3999,58909,2021,50.1
BMW,5시리즈 (F10),282,602,790,1025,1380,1698,145627,2014,15.8
KG모빌리티(쌍용),뉴코란도 C,282,289,350,424,490,590,137683,2015,17.0
기아,더 뉴 K5 2세대,281,870,1000,1220,1449,1630,101362,2019,49.0
제네시스,더 뉴 G70,277,2499,2790,3100,3450,3838,48917,2021,72.7
벤츠,E-클래스 W214,276,4715,5850,6889,7950,10100,7420,2025,77.2
현대,YF 쏘나타,273,279,320,380,430,490,134903,2011,16.1
현대,그랜저 IG 하이브리드,270,1050,1350,1650,1880,2100,127963,2018,40.7
BMW,3시리즈 (F30),264,699,965,1270,1550,1820,125281,2016,24.4
현대,팰리세이드 (LX3),264,3994,4773,5625,6150,6800,9596,2026,93.0
르노코리아(삼성),뉴SM3,260,179,218,250,299,350,113833,2011,15.0
기아,스포티지 R,258,440,499,579,670,750,137024,2012,23.7
현대,뉴 투싼 ix,256,498,590,694,780,865,139773,2014,27.9
벤츠,A-클래스 W177,247,1880,2180,2660,3359,4270,34159,2021,58.2
아우디,뉴 A6,244,640,796,1184,1499,1796,125773,2016,17.3
기아,더 뉴 K5,238,440,520,620,727,850,146390,2014,27.2
기아,쏘렌토 R,233,390,450,520,590,659,157656,2011,17.7
현대,베라크루즈,227,461,590,790,1050,1290,176780,2012,20.4
현대,쏘나타 하이브리드 (DN8),227,1495,1675,1970,2199,2424,77609,2022,58.7
벤츠,GLB-클래스 X247,224,2942,3147,3664,4477,5878,46511,2022,61.6
BMW,X4 (G02),221,3430,3790,4299,5290,6780,53745,2022,63.6
르노코리아(삼성),SM3 네오,219,280,336,400,499,642,104375,2016,23.5
BMW,X3 (G01),217,3036,3490,4150,4800,6202,61432,2021,59.8
현대,벨로스터 (JS),212,899,1100,1294,1690,2081,87870,2019,51.7
기아,니로,211,930,1045,1220,1390,1550,117617,2017,44.9
르노코리아(삼성),그랑 콜레오스,208,2950,3250,3439,3650,3823,14513,2025,80.3
테슬라,모델 Y,206,3295,3880,4280,5085,6250,24944,2024,72.1
포르쉐,파나메라 (971),205,6194,7190,9530,12490,14500,58697,2020,58.4
기아,뉴 쏘렌토 R,204,563,650,730,800,896,153899,2014,24.5
지프,랭글러 (JL),204,3443,3996,4450,5102,5644,47864,2021,64.9
현대,쏘나타 더 브릴리언트,204,350,390,459,550,627,149744,2013,19.6
KG모빌리티(쌍용),더 뉴 코란도 스포츠,204,650,790,910,1050,1187,121555,2017,34.6
르노코리아(삼성),SM5 노바,201,290,350,430,550,650,114955,2016,19.3
현대,코나 (SX2),196,2099,2350,2539,2750,2950,25321,2024,87.8
미니,쿠퍼 S,192,890,1549,2165,2699,2986,49268,2021,44.7
기아,더 뉴 니로,191,1460,1590,1770,1990,2150,78746,2020,62.9
기아,스토닉,188,767,880,1050,1200,1333,88568,2018,51.5
볼보,XC60 2세대,187,2768,3270,4190,5080,6350,51582,2021,59.6
르노코리아(삼성),뉴SM5 플래티넘,180,230,269,319,380,430,132754,2014,12.6
현대,더 뉴 맥스크루즈,180,1188,1296,1450,1592,1780,125585,2017,37.9
미니,쿠퍼,178,426,699,1249,1945,2499,65029,2019,39.3
현대,투싼 하이브리드 (NX4),171,2140,2340,2590,2805,3050,62677,2022,73.3
르노코리아(삼성),SM7 노바,170,368,450,560,690,820,130193,2016,20.9
