매물ID,제조사,모델,등급,연식,주행km,연료,차체,시도,판매가,잔존율
41633238,현대,더 뉴 아반떼 (CN7),2.0 N,2025.0,21848.0,가솔린,준중형차,서울,2599.0,78.5
40967065,현대,팰리세이드,디젤 2.2 2WD,2021.0,126613.0,디젤,SUV,서울,2599.0,54.4
41156961,현대,팰리세이드,디젤 2.2 2WD,2022.0,112051.0,디젤,SUV,서울,2380.0,63.4
41810003,현대,아반떼 하이브리드 (CN7),모던,2021.0,48548.0,가솔린+전기,준중형차,서울,2090.0,84.1
40977246,현대,투싼 (NX4),가솔린 1.6 터보 2WD,2021.0,46597.0,가솔린,SUV,서울,2090.0,79.1
41772553,현대,제네시스,BH330 모던,2013.0,144951.0,가솔린,대형차,서울,630.0,13.5
41708862,현대,캐스퍼,터보 디 에센셜,2024.0,26301.0,가솔린,경차,서울,1630.0,91.6
41074359,현대,쏘나타 디 엣지(DN8),1.6 터보,2024.0,25211.0,가솔린,중형차,서울,2890.0,79.8
41839193,현대,아이오닉6,롱레인지,2023.0,167310.0,전기,중형차,서울,2600.0,44.4
41765086,현대,그랜저 IG,3.0 익스클루시브,2018.0,74616.0,가솔린,대형차,서울,1850.0,51.5
41291468,현대,그랜저 IG,3.0 프리미엄,2019.0,186917.0,가솔린,대형차,서울,1080.0,30.9
40966537,현대,팰리세이드 (LX3),가솔린 2.5T 4WD 7인승,2025.0,4481.0,가솔린,SUV,서울,5790.0,108.4
41799440,현대,그랜저 (GN7),2.5 가솔린 2WD,2023.0,46317.0,가솔린,대형차,서울,3000.0,71.4
41285674,현대,더 뉴 싼타페,가솔린 2.5T 2WD,2021.0,37527.0,가솔린,SUV,서울,2590.0,84.7
41838841,현대,팰리세이드,가솔린 3.8 2WD,2022.0,44028.0,가솔린,SUV,서울,3050.0,66.0
41836685,현대,더 뉴 그랜드 스타렉스,어린이보호차,2019.0,97342.0,디젤,승합차,서울,1520.0,
41802837,현대,더 뉴 아반떼 (CN7),2.0 N,2026.0,7534.0,가솔린,준중형차,서울,3240.0,97.9
41499258,현대,더 뉴 싼타페,디젤 2.2 4WD,2021.0,43572.0,디젤,SUV,서울,2349.0,68.5
41774957,현대,싼타페 (MX5),HEV 1.6 2WD,2026.0,300.0,가솔린+전기,SUV,서울,3090.0,68.5
41594089,현대,팰리세이드,디젤 2.2 2WD,2020.0,75579.0,디젤,SUV,서울,2770.0,66.3
41688144,현대,더 뉴 싼타페,디젤 2.2 2WD,2021.0,48853.0,디젤,SUV,서울,2680.0,76.3
41240263,현대,그랜저 TG,Q270 럭셔리,2007.0,170246.0,가솔린,대형차,서울,350.0,11.0
41324695,현대,싼타페 (MX5),가솔린 2.5T 2WD,2024.0,78555.0,가솔린,SUV,서울,3350.0,76.6
41324818,현대,더 뉴 팰리세이드,디젤 2.2 4WD,2023.0,57996.0,디젤,SUV,서울,4390.0,91.1
